sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
387,4,Operational plan,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Operational plan: the documented product of operational planning; a plan for theorganization’s intended operational efforts on a day-to-day basis for the next several months.,,,,,,,,,,,,,,,,,,,
388,4,Operational controls,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Operational controls: information security safeguards focusing on lower-level planning that deals with the functionality of the organization’s security. These safeguards include disaster recovery and incident response planning.,,,,,,,,,,,,,,,,,,,
389,4,Operational planning,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Operational planning: the actions taken by management to specify the short-term goals and objectives of the organization in order to obtain specified tactical goals, followed by estimates and schedules for the allocation of resources necessary to achieve those goals and objectives.",,,,,,,,,,,,,,,,,,,
390,4,Policy administrator,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Policy administrator: an employee responsible for the creation, revision, distribution, and storage of a policy in an organization.",,,,,,,,,,,,,,,,,,,
391,4,Practices,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Practices: Examples of actions that illustrate compliance with policies. If the policy states to “use strong passwords, frequently changed,” the practices might advise that “according to X, most organizations require employees to change passwords at least semi-annually.”",,,,,,,,,,,,,,,,,,,
392,4,Procedures,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Procedures: Step-by-step instructions designed to assist employees in following policies, standards, and guidelines.",,,,,,,,,,,,,,,,,,,
393,4,Recovery Point Objective (RPO),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Recovery point objective (RPO): The point in time prior to a disruption or system outage to which mission/business process data can be recovered after an outage (given the most recent backup copy of the data).,,,,,,,,,,,,,,,,,,,
394,4,Recovery Time Objective (RTO),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Recovery time objective (RTO): The maximum amount of time that a system resource can remain unavailable before there is an unacceptable impact on other system resources, supported mission/business processes, and the MTD.",,,,,,,,,,,,,,,,,,,
395,4,Redundancy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Redundancy: The use of multiple types and instances of technology that prevent the failure of one system from compromising the security of information.,,,,,,,,,,,,,,,,,,,
396,4,Remote journaling,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Remote journaling: The backup of data to an off-site facility in close to real time based on transactions as they occur.,,,,,,,,,,,,,,,,,,,
397,4,Security domain,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Security domain: an area of trust within which information assets share the same level of protection. Each trusted network within an organization is a security domain. Communication between security domains requires evaluation of communications traffic.,,,,,,,,,,,,,,,,,,,
398,4,"Security Education, Training, and Awareness (SETA)",,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Security education, training, and awareness (SETA): a managerial program designed to improve the security of information assets by providing targeted knowledge, skills, and guidance for an organization’s employees.",,,,,,,,,,,,,,,,,,,
399,4,Security perimeter,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Security perimeter: The boundary in the network within which an organization attempts to maintain security controls for securing information from threats from untrusted network areas.,,,,,,,,,,,,,,,,,,,
400,4,Sequential roster,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Sequential roster: an alert roster in which a single contact person calls each person on the roster.,,,,,,,,,,,,,,,,,,,
401,4,Service bureau,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Service bureau: A continuity strategy in which an organization contracts with a service agency to provide a BC facility for a fee.,,,,,,,,,,,,,,,,,,,
402,4,Standard,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Standard: A detailed statement of what must be done to comply with policy, sometimes viewed as the rules governing policy compliance.",,,,,,,,,,,,,,,,,,,
403,4,Strategic plan,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Strategic plan: the documented product of strategic planning; a plan for the organization’s intended strategic efforts over the next several years.,,,,,,,,,,,,,,,,,,,
404,4,Strategic planning,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Strategic planning: the process of defining and specifying the long-term direction to be taken by an organization, and the allocation and acquisition of resources needed to pursue this.",,,,,,,,,,,,,,,,,,,
405,4,Sunset clause,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Sunset clause: a component of policy or law that defines an expected end date for its applicability.,,,,,,,,,,,,,,,,,,,
406,4,Systems-specific security policies (SysSPs),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Systems-specific security policies (SysSPs): Organizational policies that often function as standards or procedures to be used when configuring or maintaining systems.,,,,,,,,,,,,,,,,,,,
407,4,Tactical plan,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Tactical plan: the documented product of tactical planning; a plan for the organization’s intended tactical efforts over the next few years.,,,,,,,,,,,,,,,,,,,
408,4,Tactical planning,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Tactical planning: the actions taken by management to specify the intermediate goals and objectives of the organization in order to obtain specified strategic goals, followed by estimates and schedules for the allocation of resources necessary to achieve those goals and objectives.",,,,,,,,,,,,,,,,,,,
409,4,Technical controls,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Technical controls: information security safeguards that focus on the application of modern technologies, systems, and processes to protect information assets. These safeguards include firewalls, virtual private networks, and IDPSs.",,,,,,,,,,,,,,,,,,,
410,4,Technical specifications SysSP,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Technical specifications SysSP: A systems-specific security policy that expresses technical details for the acquisition, implementation, configuration, and management of a particular technology, written from a technical perspective.",,,,,,,,,,,,,,,,,,,
411,4,Time-share,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Time-share: A continuity strategy in which an organization co-leases facilities with a business partner or sister organization. A time-share allows the organization to have a BC option while reducing its overall costs.,,,,,,,,,,,,,,,,,,,
412,4,Warm site,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Warm site: a facility that provides many of the same services and options as a hot site, but typically without installed and configured software applications. Warm sites are used for BC operations.",,,,,,,,,,,,,,,,,,,
413,4,Work Recovery Time (WRT),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Work recovery time (WRT): The amount of effort (expressed as elapsed time) necessary to make the business function operational after the technology element is recovered (as identified with RTO). Tasks include testing and validation of the system.,,,,,,,,,,,,,,,,,,,
414,4,Sponsor,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
415,4,Champion,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
416,4,Stakeholder(s),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
417,4,Long-Range Plan (LRP),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
418,4,Target(s),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
419,4,Revenue,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
420,4,Profit,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
421,4,Growth,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
422,4,CAGR,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
423,4,Board of Directors,Board,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
424,4,Chairperson of Board,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
425,4,C.E.O.,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
426,4,President,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
427,4,C.O.O.,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
428,4,C.I.O.,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
429,4,C.T.O.,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
430,4,C.F.O.,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
431,4,SVP Risk Management,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
432,4,Corporate Secretary,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
433,4,Organization Hierarchy,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
434,4,Sales,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
435,4,Marketing,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
436,4,Operations,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
437,4,Functions,Departments,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
438,4,Departments,Functions,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
439,4,Initial Public Offering (IPO),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
440,4,Business as Usual (BAU),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
441,4,Initiative(s),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
442,4,Organic,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
443,4,Mergers and Acquisitions (M&A),M&A,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
444,4,Reorganization,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
445,4,Spinoff,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
446,4,Merger ,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
447,4,Acquisition,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
448,4,Geographic Organization Structure,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
449,4,Divisional Organization Structure,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
450,4,Matrix Organization,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
451,4,Sandbagging,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
452,4,Budget,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
453,4,Forecast,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
454,5,Free Roll,,Eugene,Davydov,,A situation where there is an asymmetry between the upside and the downside consequences of a decision because the potential losses are not significant. ,,,,,,,,,,,,,,,,,,,
455,4,Shareholders,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
456,4,Owners,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
457,4,Analysts,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
458,4,Blueprint,Information security blueprint,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.","A term borrowed from architecture and engineering which implies a level of detailed design with components all fit together to create a fully functional result.  Overused term in business, technology, and especially consulting which has different meanings as construed by different users.",,,,,,,,,,,,,,,,,,,
459,4,Incremental Cost,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
460,4,Incremental Benefit,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
461,4,Inefficiency,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
462,4,Efficiency,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
463,4,Labor,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
464,4,Enterprise ,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
465,4,Company,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
466,4,Corporate,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
467,4,Entity,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
468,4,Chief Administrative Officer (C.A.O.),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
469,4,Service Level Agreement (SLA),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
470,4,Key Performance Indicators (KPIs),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
471,4,Leading Indicators,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
472,4,Drivers,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
473,4,General Manager,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
474,4,Executive Director,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
475,4,Controller,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
476,4,Legal Department,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
477,4,Internal Audit,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
478,4,Enterprise Risk Management,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
479,4,Supplier Management,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
480,4,Procurement,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
481,4,Supply Chain,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
482,4,Vendor,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
483,4,Contractor,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
484,4,Value Chain,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
485,4,Treasury,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
486,4,Cash Flow,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
487,4,EBITDA,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
488,4,Small and Medium Businesses (SMBs),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
489,4,Exit Strategy,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
490,4,Transaction (in M&A),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
491,4,Sarbanes-Oxley (SoX),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
492,4,Commander's Intent,,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
493,4,Limited Liability Partnership (LLP),,Patrick,Slattery,"""Preface: Planning for Security""  Patrick J. Slattery.  21-Jun-2021.  CST2410-OL20-Su21.",,,,,,,,,,,,,,,,,,,,
494,4,Uncertainty,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
495,4,Inside View,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ","The view of the world from inside your own perspective, your own experiences, and your own beliefs.",,,,,,,,,,,,,,,,,,,
496,5,Bias,Cognitive bias,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",A tendency to err in a particular direction.  Example: a weather forecaster who generally predicts the temperature to be hotter than it typically is.,,,,,,,,,,,,,,,,,,,
497,5,Noise,Inconsistency,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",A tendency to err in a random direction.  Example: a weather forecaster who gives a different forecast for two identical days.,,,,,,,,,,,,,,,,,,,
498,5,Inconsistency,Noise,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",A tendency to err in a random direction.  Example: a weather forecaster who gives a different forecast for two identical days.,,,,,,,,,,,,,,,,,,,
499,5,Cognitive bias,Bias,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ","A strong, preconceived notion we have of someone or something based on inforrmation we have, perceive to have (but may lack).  These preconcieved notions are mental short-cuts which the human brain produces to exepedite processing information and making decisions.",,,,,,,,,,,,,,,,,,,
500,5,Dispersion of opinion,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
501,5,Convey,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
502,5,Convince,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
503,5,Prework,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
504,5,Pre-mortems,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
505,5,Forecasts,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
506,5,Ratings,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
507,5,Rationales,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",,,,,,,,,,,,,,,,,,,,
508,5,Overconfidence,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",Expressions of high confidence which may include coherent stories and confident predictions with little basis in fact or logic.  Overconfidence can be prevalent when self-awareness is low.,,,,,,,,,,,,,,,,,,,
509,5,Halo effect,Cognitive bias,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ","A cognitive bias in which a positive impression of a person in one area of expertise results in a positive view of that person in other, unrelated areas of expertise. ",,,,,,,,,,,,,,,,,,,
510,5,Framing effect,Cognitive bias,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",A cognitive bias in which the way in which information is presented influences the way the receiver of that information makes decisions using the information.,,,,,,,,,,,,,,,,,,,
511,5,Status Quo bias ,Cognitive bias,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",The tendency to believe that the way things are presently will persist into the future.,,,,,,,,,,,,,,,,,,,
512,5,Time/Accuracy tradeoff,,Eugene,Davydov,"""Effective Decision Making""  Eugene Davydov.  29-Jun-2021.  CST2410-OL20-Su21.  ",Increasing accuracy costs time.  Saving time costs accuracy.,,,,,,,,,,,,,,,,,,,
